id,name,league_id,created_at,updated_at
208,Histon,10,2012-07-30 07:24:08.725412,2012-07-30 07:24:08.725412
209,Oxford City,10,2012-07-30 07:24:22.717721,2012-07-30 07:24:22.717721
210,Solihull Moors,10,2012-07-30 07:24:33.419341,2012-07-30 07:24:33.419341
211,Stalybridge Celtic,10,2012-07-30 07:24:54.368228,2012-07-30 07:24:54.368228
212,AFC Hornchurch,11,2012-07-30 07:30:29.128932,2012-07-30 07:30:29.128932
213,Billericay Town,11,2012-07-30 07:30:59.53202,2012-07-30 07:30:59.53202
214,Boreham Wood,11,2012-07-30 07:31:35.643345,2012-07-30 07:31:35.643345
215,Chelmsford City,11,2012-07-30 07:32:13.879108,2012-07-30 07:32:13.879108
216,Dorchester Town,11,2012-07-30 07:32:23.916014,2012-07-30 07:32:23.916014
217,Eastleigh,11,2012-07-30 07:34:53.141891,2012-07-30 07:34:53.141891
218,Farnborough,11,2012-07-30 07:35:24.519004,2012-07-30 07:35:24.519004
219,Hayes & Yeading,11,2012-07-30 07:36:10.799425,2012-07-30 07:36:10.799425
220,Maidenhead United,11,2012-07-30 07:36:28.372552,2012-07-30 07:36:28.372552
221,Salisbury City,11,2012-07-30 07:36:40.562333,2012-07-30 07:36:40.562333
222,Staines Town,11,2012-07-30 07:36:50.315885,2012-07-30 07:36:50.315885
223,Sutton United,11,2012-07-30 07:36:58.526453,2012-07-30 07:36:58.526453
224,Tonbridge Angels,11,2012-07-30 07:37:10.395113,2012-07-30 07:37:10.395113
225,Truro City,11,2012-07-30 07:37:20.775012,2012-07-30 07:37:20.775012
226,Weston-super-Mare,11,2012-07-30 07:38:09.049479,2012-07-30 07:38:09.049479
227,Romford FC,12,2012-08-28 09:34:20.607807,2012-08-28 09:34:20.607807
228,Waltham Forest,12,2012-08-28 09:34:32.173197,2012-08-28 09:34:32.173197
229,Berwick Rangers,39,2012-08-28 14:27:21.781369,2012-08-28 14:27:21.781369
230,Coleraine,28,2012-10-01 08:59:03.483282,2012-10-01 08:59:03.483282
231,Donegal Celtic,28,2012-10-01 08:59:18.686954,2012-10-01 08:59:18.686954
232,Dungannon Swifts,28,2012-10-01 08:59:31.91946,2012-10-01 08:59:31.91946
233,Finn Harps,27,2012-10-01 08:59:47.052867,2012-10-01 08:59:47.052867
234,Waterford,27,2012-10-01 08:59:56.691774,2012-10-01 08:59:56.691774
235,Tilbury FC,40,2012-10-14 09:51:50.125172,2012-10-14 09:51:50.125172
236,Grays Athletic,40,2012-10-14 09:52:12.780622,2012-10-14 09:52:12.780622
237,Malvern Town,12,2012-10-24 05:12:19.506367,2012-10-24 05:12:19.506367
239,Causeway United,12,2012-10-24 06:15:31.752827,2012-10-24 06:15:31.752827
240,Linvingston,16,2012-12-10 11:23:37.956045,2012-12-10 11:23:37.956045
241,Livingston,42,2012-12-10 19:02:54.23937,2012-12-10 19:02:54.23937
242,Livingston,41,2012-12-11 07:58:39.228924,2012-12-11 07:58:39.228924
243,Dunfermline,41,2012-12-11 07:58:50.596981,2012-12-11 07:58:50.596981
244,Dundee FC,16,2012-12-11 08:22:15.821863,2012-12-11 08:22:15.821863
245,Dundee United,16,2012-12-11 08:22:24.250517,2012-12-11 08:22:24.250517
246,Newport County,9,2013-01-06 15:11:56.318516,2013-01-06 15:11:56.318516
247,Raith Rovers,41,2013-02-04 09:59:20.687637,2013-02-04 09:59:20.687637
248,Montrose,43,2013-02-04 09:59:31.658578,2013-02-04 09:59:31.658578
249,East Stirlingshire,43,2013-02-04 09:59:46.60518,2013-02-04 09:59:46.60518
250,Arbroath,45,2013-03-18 10:36:36,2013-03-18 10:36:36
251,Queen of the South,45,2013-03-18 10:36:48,2013-03-18 10:36:48
252,Motherwell,16,2013-03-18 10:37:19,2013-03-18 10:37:19
253,Hibernian,16,2013-03-18 10:37:28,2013-03-18 10:37:28
254,Stamford AFC,37,2013-04-04 18:09:55,2013-04-04 18:09:55
255,King's Lynn,37,2013-04-04 18:10:07,2013-04-04 18:10:07
256,Whitstable Town,33,2013-04-15 15:46:05,2013-04-15 15:46:05
258,Cobh Ramblers,27,2013-06-17 09:09:17.026706,2013-06-17 09:09:17.026706
259,England,15,2013-08-19 12:40:37.433509,2013-08-19 12:40:56.135551
260,Scotland,15,2013-08-19 12:41:20.992115,2013-08-19 12:41:20.992115
261,England Fans,15,2013-08-19 12:42:27.564803,2013-08-19 12:42:27.564803
262,Tartan Army Select FC,15,2013-08-19 12:42:43.27561,2013-08-19 12:42:43.27561
263,Rhyl,26,2013-08-19 12:52:21.995606,2013-08-19 12:52:21.995606
264,Prestatyn,26,2013-08-19 12:52:31.68363,2013-08-19 12:52:31.68363
265,Stocksbridge Park Steels,38,2013-08-19 12:53:50.609836,2013-08-19 12:53:50.609836
266,Thackley FC,19,2013-08-19 12:54:32.73317,2013-08-19 12:54:32.73317
267,Guiseborough,38,2013-08-19 12:54:59.493542,2013-08-19 12:54:59.493542
268,Port Vale,7,2013-09-02 17:55:24.840848,2013-09-02 17:55:24.840848
269,Slough Town,12,2013-09-02 17:55:56.571152,2013-09-02 17:55:56.571152
270,Cirencester Town,12,2013-09-02 17:56:13.651978,2013-09-02 17:56:13.651978
271,Saffron Walden Town,47,2013-09-08 15:38:43.794608,2013-09-08 15:38:43.794608
272,Stowmarket Town,47,2013-09-08 15:39:06.301105,2013-09-08 15:39:06.301105
273,Harwich & Parkeston,48,2013-09-30 09:13:32.415004,2013-09-30 09:13:32.415004
274,Coggeshall,48,2013-09-30 09:13:44.539449,2013-09-30 09:13:44.539449
275,Bangor,52,2013-10-15 13:01:59.294585,2013-10-15 13:01:59.294585
276,Knockbreda,52,2013-10-15 13:02:11.246704,2013-10-15 13:02:11.246704
277,Bray Wanderers,27,2013-10-15 13:02:55.144659,2013-10-15 13:02:55.144659
278,Limerick,27,2013-10-15 13:03:03.456023,2013-10-15 13:03:03.456023
279,St. Patrick's Athletic,27,2013-10-15 13:03:31.375472,2013-10-15 13:03:31.375472
280,Sligo Rovers,27,2013-10-15 13:03:40.738761,2013-10-15 13:03:40.738761
281,Ross County,16,2013-10-29 11:06:30.891019,2013-10-29 11:06:30.891019
282,Inverness Caledonian Thistle,16,2013-10-29 11:06:44.310554,2013-10-29 11:06:44.310554
283,Brechin,45,2013-10-29 11:07:01.410813,2013-10-29 11:07:01.410813
284,Partick Thistle,16,2013-10-29 11:07:12.238308,2013-10-29 11:07:12.238308
285,Cambridge United,9,2013-12-16 06:56:27.992602,2013-12-16 06:56:27.992602
286,St Albans City,24,2013-12-16 06:56:50.970221,2013-12-16 06:56:50.970221
287,Forest Green Rovers,9,2013-12-30 08:53:19.078596,2013-12-30 08:53:19.078596
288,Cadbury Athletic,47,2013-12-30 08:53:37.536849,2013-12-30 08:53:37.536849
289,Knowle,47,2013-12-30 08:53:49.371694,2013-12-30 08:53:49.371694
